Timestamp,Name,Summary,Website,Contact,Email,Phone,Street Address,City,State,Zip code,Latitude,Longitude,Category,Accuracy
,350.org,350.org is building a global grassroots movement to solve the climate crisis.,http://350.org/,,,518-635-0350,20 Jay St,Brooklyn,NY,11201,40.704015,-73.986764,Advocacy,Address
,Air Alliance Houston,Research. Advocacy. Education,http://airalliancehouston.org/,"Adrian Shelly, Exectuvie Director",adrian@airalliancehouston.org,713-528-3779,"2409 Commerce Street, Suite A",Houston,TX,77003,29.749278,-95.34741,Advocacy,Zip code
,Akron Beacon Journal,Ohio Utica Shale Blog,http://www.ohio.com/blogs/drilling/ohio-utica-shale-1.291290,Bob Downing,bdowning@thebeaconjournal.com,330-996-3745,44 E. Exchange Street,Akron,OH,44308,41.0751,-81.5214,Press,Municipality
,All Sides with Ann Fisher,Ohio State Public Radio,http://www.wosu.org/2012/allsides,Ann Fisher,,614-292-9678,2400 Olentangy River Road,Columbus,OH,43210,40.0102005,-83.0213614,Press,Municipality
,Allegheny Defense Project,"The Allegheny Defense Project (ADP) is a 501 (c) (3) non-profit organization dedicated to protecting and restoring the wild forests and rivers of the Allegheny Plateau and the Allegheny National Forest (ANF), PennsylvaniaÂÂs only national forest.",http://www.alleghenydefense.org/,"Ryan Talbott, Executive Director",rtalbott@alleghenydefense.org,503-887-7845,117 West Wood Lane,Kane,PA,16735,41.628726,-78.80734,Advocacy,Zip code
,Alliance for Aquatic Resource Monitoring (ALLARM),"ALLARM is an environmental organization based out of Dickinson College that empowers local communities with scientific tools to assess, protect, and restore waterways.  Since 1986, ALLARM has provided technical assistance to volunteer stream monitors in the state of Pennsylvania",http://www.dickinson.edu/about/sustainability/allarm/,"Julie Vastine, Director",,717-245-1565,Dickinson College,Carlisle,PA,17013,40.203458,-77.19987,Scientific,Zip code
,American Rivers,American Rivers is the leading organization working to protect and restore the nationÂs rivers and streams.,http://www.americanrivers.org/,William Irvin,outreach@americanrivers.org,202-347-7550,"1101 14th Street NW, Suite 1400",Washington D.C.,,20005,38.904461,-77.03088,Advocacy,Zip code
,Arkansas Citizens First Congress,The Arkansas Citizens First Congress is a multi-issue and non-partisan coalition of 49 organizations who work together for progressive changes in state policy.,http://citizensfirst.org/front-page/,"Kate Althoff, Co-Chair",congress@citizensfirst.org,501-376-7913,1308 West Second St.,Little Rock,AR,72201,34.745692,-92.27987,Advocacy,Zip code
,Arkansas Public Policy Panel,"The Arkansas Public Policy Panel is a statewide organization dedicated to achieving social and economic justice by organizing citizen groups around the state, educating and supporting them to be more effective and powerful, and linking them with one another in coalitions and networks. The Panel seeks to bring balance to the public policy process in Arkansas.",http://arpanel.org/content/index.php,"Curtis Mangrum, Co-Chair",panel@arpanel.org,501-376-7913,1308 W. 2nd Street,Little Rock,AR,72201,34.745692,-92.27987,Advocacy,Zip code
8/7/2014,"Assistant Professor, Social Science Department ",University of Wisconsin-Stout ,http://www.uwstout.edu/faculty/pearsont/,Thomas Pearson,twpear@gmail.com,Home: 715-235-0532; Cell: 715-497-2577,712 South Broadway St, Menomonie, WI,54751,44.870721,-91.928728,Education,Address
